id,full_name,age,gender,country,salary,join_date,department,email,performance_rating,years_experience,is_active
1,Sara smith,32,Male,Usa,102397.0,2019-05-14,Marketing,Not Provided,5,3.0,No
2,Omar diaz,28,Female,Germany,52000.0,2019-02-23,Information Technology,omar.diaz100@example.com,4,1.0,Yes
3,Mike rossi,5,Unknown,United Kingdom,1000.0,2019-05-14,Sales,mike.rossi876@example.com,2,3.0,Yes
4,Emma williams,21,Male,India,10957.0,2019-05-14,Finance,Not Provided,1,1.0,No
5,Ravi silva,32,Female,United Kingdom,1000.0,2019-05-14,Marketing,ravi.silva143@example.com,5,1.0,No
6,Ravi williams,44,Male,Usa,45033.0,,Sales,ravi.williams395@example.com,3,1.0,Unknown
7,Sara rossi,59,Female,Canada,1000.0,,Not Provided,Not Provided,3,2.0,Yes
8,Emma patel,54,Female,Not Provided,71000.0,2020-09-07,Marketing,Not Provided,2,4.0,Yes
9,Nina rossi,59,Female,United Kingdom,1000.0,2019-05-14,Finance,nina.rossi666@example.com,2,1.0,No
10,David smith,21,Female,Usa,34305.0,2020-07-26,Sales,david.smith881@example.com,5,4.0,Yes
11,Ali diaz,46,Female,United Kingdom,25914.0,2019-05-14,Information Technology,Not Provided,5,6.0,Yes
12,David garcia,52,Male,India,28374.0,2020-10-20,Human Resource,Not Provided,3,0.0,No
13,Priya martinez,21,Male,India,74000.0,2019-05-14,Information Technology,Not Provided,5,2.0,No
14,Anna chen,58,Male,Germany,22712.0,,Sales,Not Provided,3,2.0,Yes
15,Sara diaz,55,Unknown,Usa,19488.0,2019-05-14,Marketing,Not Provided,2,3.0,No
16,David lee,38,Male,Usa,89000.0,2019-05-14,Sales,david.lee901@example.com,3,4.0,Unknown
17,Zoe ivanov,26,Male,India,61930.0,2019-05-14,Finance,zoe.ivanov650@example.com,3,3.0,Yes
18,Jane smith,5,Male,Canada,13229.0,2018-02-09,Sales,Not Provided,3,3.0,Yes
19,Ali khan,5,Female,United Kingdom,10927.0,,Operations,ali.khan159@example.com,4,3.0,Yes
20,David martinez,34,Male,France,86694.0,2019-05-14,Marketing,david.martinez841@example.com,2,3.0,No
21,Carlos williams,30,Female,Usa,30442.0,2020-12-23,Sales,carlos.williams611@example.com,2,3.0,Yes
22,Sam chen,52,Male,United Kingdom,1000.0,,Information Technology,sam.chen680@example.com,3,3.0,Yes
23,Anna rossi,49,Female,India,22657.0,2024-02-23,Marketing,anna.rossi294@example.com,5,1.0,No
24,Omar chen,65,Male,Germany,34181.0,2021-10-04,Not Provided,Not Provided,4,1.0,No
25,Nina kim,57,Unknown,United Kingdom,12496.0,2019-05-14,Sales,Not Provided,1,4.0,Yes
26,Tom wang,53,Male,India,9284.0,2019-05-14,Not Provided,tom.wang913@example.com,3,4.0,Yes
