id,full_name,email,phone_number,gender,country,city,address,job_title,department,company_name,product_category,feedback_text,status,notes
1,John Singh,johnsingh50@company.co.in,Unknown,Male,United States Of America,Mumbai,Unknown,Sr Software Engineer,Marketing,Startup Hub,Electronics,Bad Experience Customer Support Unhelpful,Pending,Pending Review
2,Divya Verma,vermadivya@gmail.com,2819482199,Female,India,Mumbai,Unknown,Marketing Specialist,Sales,Global Traders Pvt Ltd,Beauty,Not Satisfied & Want Refund,Inactive,Not Provided
3,Divya Gupta,divyagupta@gmail.com,Unknown,Female,India,Mumbai,712 Park Street,Sales Executive,Product,Tech Solutions Inc,Electronics,Product Was Okay Delivery Was Late,Inactive,None
4,Rohan Verma,Unknown,Unknown,Male,United States Of America,New York,Unknown,Sr Software Engineer,Human Resources,Global Traders Pvt Ltd,Sports And Fitness,Excellent Quality Highly Recommend,Inactive,Follow Up Required
5,Sophia Chopra,sophiachopra@yahoo.com,3212233079,Female,United Kingdom,Mumbai,Unknown,Hr Executive,Human Resources,Startup Hub,Electronics,Excellent Quality Highly Recommend,Not Provided,Not Provided
6,Liam Brown,liambrown@outlook.com,6031372159,Male,India,Bangalore,Unknown,Sr Software Engineer,Engineering,Acme And Co,Sports And Fitness,Great Service Will Buy Again,Not Provided,
7,Johnson Isabella,Unknown,Unknown,Not Provided,United States Of America,Not Provided,Unknown,Hr Executive,Human Resources,Startup Hub,Electronics,,Pending,
8,Rohan Chopra,choprarohan@yahoocom,Unknown,Not Provided,United States Of America,New Delhi,"531 MG Road, Flat 3",Sr Software Engineer,Sales,Global Traders Pvt Ltd,Clothing,Product Was Okay Delivery Was Late,Pending,Not Provided
9,Emma Johnson,emmajohnson@gmailcom,7353799075,Not Provided,India,London,490 Park Street,Marketing Specialist,Sales,Tech Solutions Inc,Sports And Fitness,Excellent Quality Highly Recommend,Inactive,None
10,Anjali Reddy,Unknown,7299752882,Male,India,Not Provided,445 Park Street,Data Analyst,Engineering,Acme And Co,Clothing,Product Was Okay Delivery Was Late,Pending,Not Provided
11,John Chopra,choprajohn@outlookcom,Unknown,Other,India,Toronto,624 Park Street,Data Analyst,Human Resources,Global Traders Pvt Ltd,Home And Kitchen,Excellent Quality Highly Recommend,Active,Not Provided
12,William Clark,Unknown,1803340187,Male,India,Toronto,Unknown,Not Provided,Not Provided,Bright Future Llc,Clothing,Not Provided,Pending,
13,Karan Anderson,karananderson@outlook.com,Unknown,Male,United Kingdom,Bangalore,"991 MG Road, Flat 3",Marketing Specialist,Not Provided,Tech Solutions Inc,Clothing,Great Service Will Buy Again,Inactive,Vip Customer
14,John Taylor,johntaylor327@yahoo.com,5058770658,Other,India,Bangalore,941 MG Road,Sr Software Engineer,Sales,Acme And Co,Electronics,Not Provided,Active,
15,Olivia Chopra,Unknown,9751402614,Not Provided,India,New Delhi,86 MG Road,Sales Executive,Engineering,Acme And Co,Beauty,Not Provided,Inactive,Vip Customer
16,Priya Clark,priyaclark@gmailcom,4023448347,Not Provided,United States Of America,New Delhi,"356 MG Road, Apt 4B",Sr Software Engineer,Marketing,Bright Future Llc,Not Provided,Product Was Okay Delivery Was Late,Inactive,Follow Up Needed
17,Olivia Wilson,Unknown,4335326502,Male,United Kingdom,London,Unknown,Not Provided,Sales,Bright Future Llc,Clothing,Not Provided,Inactive,Follow Up Next Week
18,Anjali Reddy,anjalireddy@outlook.com,5585304352,Female,Canada,Mumbai,515 Park Street,Product Manager,Engineering,Tech Solutions Inc,Clothing,Not Provided,Active,Follow Up Required
19,James Verma,jamesverma@gmail.com,3198296572,Not Provided,United States Of America,Mumbai,Unknown,Data Analyst,Engineering,Startup Hub,Clothing,Great Service Will Buy Again,Active,Follow Up Next Week
20,Emma Patel,emmapatel572@outlook.com,0837407188,Not Provided,India,Toronto,867 Park Street,Data Analyst,Marketing,Startup Hub,Beauty,Excellent Quality Highly Recommend,Inactive,Follow Up Needed
21,Meera Verma,meeraverma@gmailcom,5449920707,Not Provided,India,New Delhi,Unknown,Product Manager,Product,Global Traders Pvt Ltd,Beauty,,Active,Vip Customer
22,Gupta Meera,meeragupta@gmail.com,1874633191,Not Provided,United Kingdom,New York,Unknown,Hr Executive,Marketing,Global Traders Pvt Ltd,Not Provided,Not Satisfied And Want A Refund,Active,Follow Up Required
23,Ava Anderson,avaanderson@yahoocom,6565150556,Male,India,New York,Unknown,Sr Software Engineer,Finance,Global Traders Pvt Ltd,Clothing,Not Provided,Active,
24,Priya Malhotra,priyamalhotra@gmail.com,6853560688,Not Provided,India,Mumbai,462 Park Street,Product Manager,Not Provided,Tech Solutions Inc,Home And Kitchen,Great Service Will Buy Again,Inactive,Pending Review
25,Meera Malhotra,Unknown,4634786122,Male,Not Provided,New Delhi,Unknown,Data Analyst,Marketing,Acme And Co,Electronics,Great Service Will Buy Again,Inactive,Vip Customer
26,John Iyer ,Unknown,3066683645,Female,United Kingdom,New York,95 Park Street,Marketing Specialist,Finance,Startup Hub,Beauty,Not Satisfied And Want A Refund,Inactive,Not Provided
27,Vikram Verma,Unknown,7970168773,Male,United States Of America,Bangalore,Unknown,Sales Executive,Engineering,Bright Future Llc,Electronics,Great Service Will Buy Again,Active,Not Provided
28,Priya Malhotra,Unknown,6111489364,Other,India,Mumbai,286 Park Street,Product Manager,Not Provided,Bright Future Llc,Clothing,Excellent Quality Highly Recommend,Active,Follow Up Next Week
29,Meera Verma,Unknown,Unknown,Female,Canada,New Delhi,Unknown,Sr Software Engineer,Marketing,Global Traders Pvt Ltd,Clothing,Product Was Okay Delivery Was Late,Active,Not Provided
30,Divya Chopra,Unknown,7923760926,Male,India,Bangalore,727 Park Street,Marketing Specialist,Product,Startup Hub,Books,Not Provided,Active,Follow Up Needed
31,John Nair,Unknown,7046557210,Female,India,New York,575 Park Street,Marketing Specialist,Finance,Not Provided,Books,Not Provided,Inactive,Follow Up Needed
32,Ava Nair ,avanair@gmail.com,3557063606,Female,India,Mumbai,Unknown,Hr Executive,Finance,Acme And Co,Books,Bad Experience Customer Support Unhelpful,Active,
33,John Chopra,Unknown,Unknown,Male,Not Provided,Bangalore,843 Park Street,Product Manager,Sales,Acme And Co,Beauty,Not Satisfied & Want Refund,Pending,Follow Up Needed
34,Karan Brown,karanbrown418@gmail.com,0788526114,Male,India,London,178 Park Street,Marketing Specialist,Product,Bright Future Llc,Clothing,Not Provided,Pending,Not Provided
35,Sneha Malhotra,snehamalhotra@yahoo.com,5443732332,Other,United States Of America,New York,Unknown,Not Provided,Marketing,Startup Hub,Home And Kitchen,Bad Experience Customer Support Unhelpful,Inactive,Follow Up Next Week
36,Aarav Wilson,aaravwilson@outlook.com,Unknown,Other,United States Of America,Toronto,Unknown,Sr Software Engineer,Human Resources,Startup Hub,Sports And Fitness,Product Was Okay Delivery Was Late,Active,Not Provided
37,Vikram Verma,Unknown,3056529413,Female,Not Provided,Mumbai,Unknown,Data Analyst,Engineering,Startup Hub,Home And Kitchen,Not Satisfied And Want A Refund,Inactive,Pending Review
38,Meera Taylor,Unknown,Unknown,Male,Australia,Bangalore,592 Park Street,Sales Executive,Human Resources,Tech Solutions Inc,Electronics,Great Service Will Buy Again,Pending,Follow Up Required
39,Liam Gupta ,liamgupta@company.co.in,2542821167,Female,United States Of America,Mumbai,Unknown,Marketing Specialist,Engineering,Startup Hub,Home And Kitchen,Bad Experience Customer Support Unhelpful,Active,Vip Customer
40,Nair Isabella,isabellanair@gmailcom,Unknown,Other,India,New York,Unknown,Product Manager,Product,Acme And Co,Clothing,Not Satisfied And Want A Refund,Inactive,No Notes
