id,full_name,email,phone_number,gender,country,city,address,job_title,department,company_name,product_category,feedback_text,status,notes
122,"Brown, Priya",,  7857907785  ,F,usa,London,539 park street.,HR Executive,ENGINEERING,StartUp Hub,clothing,,pending,
110,"Walker, Emma",  walker..emma@gmail  ,(081) 369-1543,,IN,New York,,Product Manager,Finance,Bright Future LLC,sports and fitness,Not satisfied &amp; want refund,Active,none
128,JAMES SHARMA,,(397) 035-7086,F,india,bangalore,"329 MG Road, Suite 12",data analyst,Sales,Bright Future LLC,CLOTHING,great   service will buy again,inactive,Pending review
133,"Nair, Sneha",nair..sneha@gmail,  7507137449  ,male,US,bangalore,  787 Park Street  ,PRODUCT MANAGER,engineering,bright future llc,Home & Kitchen,"Great service, will buy again!!!",inactive,
69,"Brown, Divya",,(857) 893-3331,,U.K.,NYC,,Data Analyst,marketing,Tech Solutions Inc.,,Not satisfied &amp; want refund,active,
130,Priya Smith,priya.smithATgmail,,F,australia,Delhi,,SR SOFTWARE ENGINEER,engineering,TECH SOLUTIONS INC,ELECTRONICS,,pending,pending  review
98,sophia.reddy,  sophia.reddy@gmail  ,,,,New Delhi,,Sales Executive,HR,StartUp Hub,Sports & Fitness,,Inactive,FOLLOW UP REQUIRED
70,  Noah  Gupta  ,noah..gupta612@yahoo.com,548.901.0397,Female,UK,london,,Data Analyst,Sales,Tech Solutions Inc.,books,"Product was okay, delivery was late.",ACTIVE,Pending review
22,"Meera, Gupta",meera..guptaATgmailDOTcom,(187) 463-3191,,UK,NYC,,hr executive,marketing,global traders pvt ltd,,Not satisfied and want a refund,Active,FOLLOW UP REQUIRED
71,Aarav Verma,,771.961.1459,,IN,,  460 Park Street  ,hr executive,marketing,startup hub,clothing,GREAT SERVICE!!! WILL BUY AGAIN,Active,-
132,Meera Iyer.,,,F,USA,New York,  203 Park Street  ,data analyst,Product,ACME AND CO,sports and fitness,great   service will buy again,Active,
126,Noah Brown.,,466.945.3692,,Canada,MUMBAI,"682 MG Road, ",Sr. Software Engineer,product,Global Traders Pvt. Ltd.,sports and fitness,excellent quality highly recommend,INACTIVE,pending  review
85,OLIVIA CHOPRA,olivia.chopraAToutlookDOTcom,,Male,,London,550 park street.,Data Analyst,Product,bright future llc,sports and fitness,Bad experience :( customer support unhelpful,A,follow-up needed
108,Vikram-Walker,,4700527870,male,U.S.A,London,,Sales Executive,finance,Acme & Co.,ELECTRONICS,Not satisfied &amp; want refund,inactive,VIP customer
47,"Wilson, Priya",,+91-67172-31430,female,UK,mumbai,,product manager,sales,StartUp Hub,Clothing,great   service will buy again,Pending,Follow up next week
31,  John  Nair  ,invalid.email,+91-70465-57210,Female,IN,NYC,  575 Park Street  ,Marketing Specialist,Finance,,Books,,INACTIVE,follow-up needed
45,EMMA MALHOTRA,invalid.email,(369) 492-3597,M,India,New Delhi,"725 MG Road, ",Data Analyst,Sales,Global Traders Pvt. Ltd.,CLOTHING,"Great service, will buy again!!!",Active,No notes
16,priya.clark,  priya.clark@gmail.com  ,  4023448347  ,,U.S.A,delhi,"356 MG Road, Apt 4B",Software Engineer,Marketing,Bright Future LLC,,"Product was okay, delivery was late.",I,follow-up needed
18,Anjali-Reddy,anjali-reddy@outlook.com,5585304352,female,CANADA,MUMBAI,  515 Park Street  ,Product Manager,Engineering,Tech Solutions Inc,CLOTHING,,active,FOLLOW UP REQUIRED
32,Ava Nair.,ava.nairATgmail,3557063606,FEMALE,IN,mumbai,,HR Executive,Finance,Acme and Co,books,Bad experience :( customer support unhelpful,Active,-
131,  Aarav  Lewis  ,,438.223.8171,male,india,london,,marketing specialist,HR,Tech Solutions Inc.,home and kitchen,"Great service, will buy again!!!",ACTIVE,
15,Olivia   Chopra,invalid.email,9751402614,,IN,delhi,"86 MG Road, ",Sales Executive,Engineering,ACME AND CO,Beauty,,Inactive,vip customer!!
113,PRIYA GUPTA,,,,India,toronto,,software engineer,ENGINEERING,StartUp Hub,books,-,I,vip customer!!
34,  Karan  Brown  ,karan..brown418@GMAIL.COM,+91-07885-26114,MALE,INDIA,london,  178 Park Street  ,marketing specialist,product,bright future llc,clothing,,Pending,
117,Divya-Sharma,,633.535.6447,other,U.S.A,toronto,  978 Park Street  ,PRODUCT MANAGER,sales,Tech Solutions Inc,books,"Great service, will buy again!!!",I,
135,  Rohan  Johnson  ,,+91-15074-24113,M,,delhi,  333 Park Street  ,data analyst,engineering,Bright Future LLC,CLOTHING,Not satisfied &amp; want refund,A,-
